Indicator,,"Life expectancy at birth, total (years)",,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Iraq,,69.437,69.7,69.929,70.122,70.294,..,..
Ireland,,80.94878,81.34878,81.45366,81.70488,81.9561,..,..
Isle of Man,,..,..,..,..,..,..,..
Israel,,82.0561,82.15366,82.05122,82.40732,82.60244,..,..
Italy,,82.69024,83.09024,82.5439,83.2439,83.2439,..,..
Jamaica,,74.01,74.042,74.098,74.175,74.267,..,..
Japan,,83.33195,83.5878,83.7939,83.98488,84.09976,..,..
Jordan,,73.851,73.969,74.078,74.184,74.292,..,..
Kazakhstan,,70.45,71.62,72,72.3,72.95,..,..
Kenya,,63.419,64.135,64.798,65.393,65.909,..,..
Kiribati,,66.69,66.995,67.291,67.577,67.851,..,..
Kuwait,,74.885,75.019,75.13,75.224,75.311,..,..
Kyrgyzstan,,70.20244,70.40244,70.65122,70.95122,71.2,..,..
Lao People's Democratic Republic,,65.717,66.144,66.546,66.924,67.277,..,..
Latvia,,73.98293,74.12439,74.48049,74.58049,74.68049,..,..
Lebanon,,78.683,78.732,78.768,78.8,78.833,..,..
Lesotho,,48.663,49.891,51.038,52.059,52.947,..,..
Liberia,,61.186,61.723,62.269,62.802,63.295,..,..
Libya,,71.907,71.981,72.121,72.311,72.52,..,..
Liechtenstein,,82.26098,82.07317,82.6561,82.25854,82.25854,..,..
Lithuania,,73.91463,74.51707,74.32195,74.67073,74.67073,..,..
Luxembourg,,81.8,82.22927,82.29268,82.68537,82.68537,..,..
Madagascar,,64.713,65.133,65.539,65.931,66.311,..,..
Malawi,,59.931,61.042,61.953,62.681,63.279,..,..
Malaysia,,75.072,75.268,75.461,75.649,75.828,..,..
Maldives,,77.018,77.36,77.691,78.013,78.325,..,..
Mali,,56.578,57.036,57.509,57.987,58.452,..,..
Malta,,81.74634,82.04634,81.89756,82.45366,82.45366,..,..
Marshall Islands,,..,..,..,..,..,..,..
Martinique,,..,..,..,..,..,..,..
Mauritania,,63.366,63.654,63.936,64.208,64.464,..,..
Mauritius,,74.01707,74.19439,74.35317,74.39488,74.51463,..,..
Mayotte,,..,..,..,..,..,..,..
Mexico,,74.93,74.908,74.904,74.917,74.947,..,..
Micronesia (Federated States of),,66.986,67.152,67.315,67.471,67.618,..,..
Monaco,,..,..,..,..,..,..,..
Mongolia,,68.566,68.863,69.111,69.321,69.509,..,..
Montenegro,,76.089,76.297,76.452,76.568,76.667,..,..
Montserrat,,..,..,..,..,..,..,..
Morocco,,75.227,75.477,75.726,75.974,76.218,..,..
Mozambique,,54.949,56.062,57.206,58.309,59.309,..,..
Myanmar,,64.921,65.378,65.81,66.205,66.558,..,..
Namibia,,60.513,61.425,62.119,62.625,63.021,..,..
Nauru,,..,..,..,..,..,..,..
Nepal,,68.806,69.168,69.515,69.848,70.169,..,..
Netherlands,,81.30488,81.70732,81.50976,81.56098,81.56098,..,..
New Caledonia,,77.17621,77.25287,77.2443,76.9615,77.14878,..,..
New Zealand,,81.40732,81.40488,81.45683,81.61244,81.65854,..,..
Nicaragua,,73.197,73.429,73.649,73.86,74.068,..,..
Niger,,59.455,60.07,60.631,61.137,61.599,..,..
Nigeria,,52.228,52.672,53.112,53.541,53.95,..,..
Niue,,..,..,..,..,..,..,..
North Macedonia,,75.171,75.299,75.406,75.498,75.589,..,..
Northern Mariana Islands,,..,..,..,..,..,..,..
Norway,,81.75122,82.1,82.30488,82.40732,82.50976,..,..
Oman,,76.388,76.634,76.887,77.142,77.393,..,..
Pakistan,,66.117,66.36,66.577,66.77,66.947,..,..
Palau,,..,..,..,..,..,..,..
Palestine,,73.17,73.303,73.442,73.589,73.74,..,..
Panama,,77.386,77.583,77.776,77.964,78.149,..,..
Papua New Guinea,,62.892,63.181,63.466,63.744,64.01,..,..
Paraguay,,73.274,73.473,73.662,73.836,73.992,..,..
Peru,,75.258,75.529,75.792,76.044,76.286,..,..
Philippines,,70.315,70.481,70.644,70.802,70.952,..,..
Poland,,77,77.60244,77.45122,77.85122,77.85122,..,..
Portugal,,80.72195,81.12195,81.12439,81.12439,81.12439,..,..
Puerto Rico,,79.03434,79.20246,79.35349,79.49498,79.63454,..,..
Qatar,,79.527,79.646,79.758,79.868,79.981,..,..
Republic of Korea,,81.27073,81.72195,82.02439,82.27561,82.62683,..,..
Republic of Moldova,,70.968,71.267,71.478,71.617,71.717,..,..
Réunion,,..,..,..,..,..,..,..
Romania,,75.06341,74.90976,75.0122,75.30976,75.30976,..,..
Russian Federation,,70.57878,70.74366,71.18341,71.65122,72.11902,..,..
Rwanda,,66.219,66.884,67.45,67.93,68.341,..,..
Saint Helena,,..,..,..,..,..,..,..
Saint Kitts and Nevis,,..,..,..,..,..,..,..
Saint Lucia,,75.286,75.44,75.596,75.752,75.907,..,..
Saint Pierre and Miquelon,,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,,71.939,72.01,72.095,72.193,72.3,..,..
Saint-Barthélemy,,..,..,..,..,..,..,..
Saint-Martin (French part),,79.17073,79.32195,79.47073,79.62195,79.72195,..,..
Samoa,,72.351,72.549,72.73,72.895,73.046,..,..
San Marino,,..,..,..,..,..,..,..
Sao Tome and Principe,,68.695,69.052,69.377,69.67,69.933,..,..
Saudi Arabia,,74.402,74.533,74.651,74.761,74.874,..,..
Senegal,,65.939,66.37,66.747,67.078,67.38,..,..
Serbia,,75.18537,75.33659,75.2878,75.6878,76.0878,..,..
Seychelles,,73.11951,73.22927,74.29512,74.30976,74.3,..,..
Sierra Leone,,51.731,52.372,52.941,53.444,53.895,..,..
Singapore,,82.24634,82.49512,82.7439,82.84634,82.89512,..,..
Sint Maarten (Dutch part),,..,..,..,..,..,..,..
Slovakia,,76.4122,76.8122,76.56341,77.16585,77.16585,..,..
Slovenia,,80.32195,81.07805,80.77561,81.17561,81.17561,..,..
Solomon Islands,,71.601,71.896,72.173,72.424,72.645,..,..
Somalia,,55.104,55.509,55.92,56.324,56.709,..,..
South Africa,,61.099,61.968,62.649,63.153,63.538,..,..
South Sudan,,56.2,56.552,56.855,57.12,57.365,..,..
Spain,,83.07805,83.22927,82.83171,83.32927,83.32927,..,..
Sri Lanka,,75.974,76.147,76.316,76.482,76.648,..,..
Sudan,,63.875,64.169,64.429,64.663,64.881,..,..
Suriname,,71.002,71.133,71.249,71.358,71.463,..,..
Sweden,,81.9561,82.25366,82.20488,82.30732,82.30732,..,..
Switzerland,,82.79756,83.19756,82.89756,83.60244,83.60244,..,..
Syrian Arab Republic,,70.049,69.821,69.908,70.315,70.967,..,..
Tajikistan,,69.609,69.874,70.137,70.397,70.647,..,..
Thailand,,75.378,75.747,76.091,76.403,76.683,..,..
Timor-Leste,,67.953,68.197,68.459,68.735,69.007,..,..
Togo,,59.16,59.58,59.927,60.22,60.489,..,..
Tokelau,,..,..,..,..,..,..,..
Tonga,,70.335,70.427,70.517,70.607,70.701,..,..
Trinidad and Tobago,,72.582,72.768,72.941,73.1,73.245,..,..
Tunisia,,75.552,75.734,75.922,76.115,76.31,..,..
Turkey,,75.784,76.172,76.532,76.86,77.161,..,..
Turkmenistan,,67.375,67.552,67.704,67.835,67.956,..,..
Turks and Caicos Islands,,..,..,..,..,..,..,..
Tuvalu,,..,..,..,..,..,..,..
Uganda,,59.881,60.669,61.373,61.986,62.516,..,..
Ukraine,,71.15951,71.18659,71.18951,71.47634,71.78098,..,..
United Arab Emirates,,76.903,77.095,77.285,77.47,77.647,..,..
United Kingdom of Great Britain and Northern Ireland,,81.00488,81.30488,80.9561,81.1561,81.1561,..,..
United Republic of Tanzania,,61.398,62.288,63.111,63.844,64.479,..,..
United States of America,,78.74146,78.84146,78.69024,78.53902,78.53902,..,..
United States Virgin Islands,,78.86829,78.96829,79.16829,79.26829,79.41951,..,..
Uruguay,,77.124,77.244,77.369,77.498,77.632,..,..
Uzbekistan,,70.41,70.671,70.928,71.171,71.388,..,..
Vanuatu,,69.57,69.719,69.869,70.021,70.172,..,..
Venezuela (Bolivarian Republic of),,72.918,72.762,72.584,72.405,72.246,..,..
Viet Nam,,75.006,75.056,75.11,75.172,75.241,..,..
Wallis and Futuna Islands,,..,..,..,..,..,..,..
Western Sahara,,..,..,..,..,..,..,..
Yemen,,66.016,66.066,66.085,66.087,66.086,..,..
Zambia,,59.746,60.831,61.737,62.464,63.043,..,..
Zimbabwe,,56.897,58.41,59.534,60.294,60.812,..,..
